Route_ID,Airline_ID,Airline_IATA,Source_Airport,Dest_Airport
1,20565,4B,LAS,LAX
2,20565,4B,LAX,LAS
3,2548,4U,AGP,TXL
4,2548,4U,AMS,HAM
5,2548,4U,ARN,DUS
6,2548,4U,ARN,HAM
7,2548,4U,BCN,DUS
8,2548,4U,BCN,HAM
9,2548,4U,BUD,HAM
10,2548,4U,CDG,HAM
11,2548,4U,CTA,DUS
12,2548,4U,CTA,HAM
13,2548,4U,CTA,TXL
14,2548,4U,CWL,DUS
15,2548,4U,DBV,DUS
16,2548,4U,DBV,HAM
17,2548,4U,DBV,TXL
18,2548,4U,DUB,DUS
19,2548,4U,DUS,ARN
20,2548,4U,DUS,BCN
21,2548,4U,DUS,CTA
22,2548,4U,DUS,CWL
23,2548,4U,DUS,DBV
24,2548,4U,DUS,DUB
25,2548,4U,DUS,KTW
26,2548,4U,DUS,LYS
27,2548,4U,DUS,MAD
28,2548,4U,DUS,MXP
29,2548,4U,DUS,PMI
30,2548,4U,DUS,PRG
31,2548,4U,DUS,SPU
32,2548,4U,DUS,VCE
33,2548,4U,DUS,WAW
34,2548,4U,DUS,WRO
35,2548,4U,FAO,HAM
36,2548,4U,FCO,HAM
37,2548,4U,FCO,TXL
38,2548,4U,HAM,AMS
39,2548,4U,HAM,ARN
40,2548,4U,HAM,BCN
41,2548,4U,HAM,BUD
42,2548,4U,HAM,CDG
43,2548,4U,HAM,CTA
44,2548,4U,HAM,DBV
45,2548,4U,HAM,FAO
46,2548,4U,HAM,FCO
47,2548,4U,HAM,LHR
48,2548,4U,HAM,MAD
49,2548,4U,HAM,MAN
50,2548,4U,HAM,MXP
51,2548,4U,HAM,NCE
52,2548,4U,HAM,PMI
53,2548,4U,HAM,PRG
54,2548,4U,HAM,SPU
55,2548,4U,HAM,TLS
56,2548,4U,HAM,VCE
57,2548,4U,HAM,VIE
58,2548,4U,HEL,TXL
59,2548,4U,KTW,DUS
60,2548,4U,LHR,HAM
61,2548,4U,LHR,TXL
62,2548,4U,LYS,DUS
63,2548,4U,MAD,DUS
64,2548,4U,MAD,HAM
65,2548,4U,MAN,HAM
66,2548,4U,MXP,DUS
67,2548,4U,MXP,HAM
68,2548,4U,NCE,HAM
69,2548,4U,NCE,TXL
70,2548,4U,PMI,DUS
71,2548,4U,PMI,HAM
72,2548,4U,PMI,TXL
73,2548,4U,PRG,DUS
74,2548,4U,PRG,HAM
75,2548,4U,SPU,DUS
76,2548,4U,SPU,HAM
77,2548,4U,SPU,TXL
78,2548,4U,TLS,HAM
79,2548,4U,TXL,AGP
80,2548,4U,TXL,CTA
81,2548,4U,TXL,DBV
82,2548,4U,TXL,FCO
83,2548,4U,TXL,HEL
84,2548,4U,TXL,LHR
85,2548,4U,TXL,NCE
86,2548,4U,TXL,PMI
87,2548,4U,TXL,SPU
88,2548,4U,TXL,VIE
89,2548,4U,VCE,DUS
90,2548,4U,VCE,HAM
91,2548,4U,VIE,HAM
92,2548,4U,VIE,TXL
93,2548,4U,WAW,DUS
94,2548,4U,WRO,DUS
95,1203,A5,BRU,LYS
96,1203,A5,FCO,LYS
97,1203,A5,GOT,LYS
98,1203,A5,LYS,BRU
99,1203,A5,LYS,FCO
100,1203,A5,LYS,GOT
101,1203,A5,LYS,MXP
102,1203,A5,LYS,PRG
103,1203,A5,LYS,VCE
104,1203,A5,MXP,LYS
105,1203,A5,NCE,TLS
106,1203,A5,PRG,LYS
107,1203,A5,TLS,NCE
108,1203,A5,VCE,LYS
109,24,AA,ABZ,LHR
110,24,AA,AGP,LHR
111,24,AA,AMS,LHR
112,24,AA,ARN,LHR
113,24,AA,ATL,DFW
114,24,AA,ATL,LHR
115,24,AA,ATL,ORD
116,24,AA,BCN,JFK
117,24,AA,BCN,LHR
118,24,AA,BHD,LHR
119,24,AA,BRU,LHR
120,24,AA,BUD,LHR
121,24,AA,CDG,DFW
122,24,AA,CDG,JFK
123,24,AA,CDG,LHR
124,24,AA,CDG,ORD
125,24,AA,CPH,LHR
126,24,AA,DEN,DFW
127,24,AA,DEN,LAX
128,24,AA,DEN,LHR
129,24,AA,DEN,ORD
130,24,AA,DEN,SEA
131,24,AA,DFW,ATL
132,24,AA,DFW,CDG
133,24,AA,DFW,DEN
134,24,AA,DFW,FRA
135,24,AA,DFW,JFK
136,24,AA,DFW,LAS
137,24,AA,DFW,LAX
138,24,AA,DFW,LHR
139,24,AA,DFW,MAD
140,24,AA,DFW,MCO
141,24,AA,DFW,ORD
142,24,AA,DFW,SEA
143,24,AA,DFW,SFO
144,24,AA,DUB,JFK
145,24,AA,DUB,LHR
146,24,AA,DUB,ORD
147,24,AA,DUS,JFK
148,24,AA,DUS,LAX
