Route_ID,Dest_Airport
1,LAX
2,LAS
3,TXL
4,HAM
5,DUS
6,HAM
7,DUS
8,HAM
9,HAM
10,HAM
11,DUS
12,HAM
13,TXL
14,DUS
15,DUS
16,HAM
17,TXL
18,DUS
19,ARN
20,BCN
21,CTA
22,CWL
23,DBV
24,DUB
25,KTW
26,LYS
27,MAD
28,MXP
29,PMI
30,PRG
31,SPU
32,VCE
33,WAW
34,WRO
35,HAM
36,HAM
37,TXL
38,AMS
39,ARN
40,BCN
41,BUD
42,CDG
43,CTA
44,DBV
45,FAO
46,FCO
47,LHR
48,MAD
49,MAN
50,MXP
51,NCE
52,PMI
53,PRG
54,SPU
55,TLS
56,VCE
57,VIE
58,TXL
59,DUS
60,HAM
61,TXL
62,DUS
63,DUS
64,HAM
65,HAM
66,DUS
67,HAM
68,HAM
69,TXL
70,DUS
71,HAM
72,TXL
73,DUS
74,HAM
75,DUS
76,HAM
77,TXL
78,HAM
79,AGP
80,CTA
81,DBV
82,FCO
83,HEL
84,LHR
85,NCE
86,PMI
87,SPU
88,VIE
89,DUS
90,HAM
91,HAM
92,TXL
93,DUS
94,DUS
95,LYS
96,LYS
97,LYS
98,BRU
99,FCO
100,GOT
101,MXP
102,PRG
103,VCE
104,LYS
105,TLS
106,LYS
107,NCE
108,LYS
109,LHR
110,LHR
111,LHR
112,LHR
113,DFW
114,LHR
115,ORD
116,JFK
117,LHR
118,LHR
119,LHR
120,LHR
121,DFW
122,JFK
123,LHR
124,ORD
125,LHR
126,DFW
127,LAX
128,LHR
129,ORD
130,SEA
131,ATL
132,CDG
133,DEN
134,FRA
135,JFK
136,LAS
137,LAX
138,LHR
139,MAD
140,MCO
141,ORD
142,SEA
143,SFO
144,JFK
145,LHR
146,ORD
147,JFK
148,LAX
149,LHR
150,ORD
151,LHR
152,JFK
153,LHR
154,ORD
155,DFW
156,LHR
157,LHR
158,LHR
159,LHR
160,JFK
161,LHR
162,MAN
163,BCN
164,CDG
165,DFW
166,DUB
167,DUS
168,FCO
169,HEL
170,LAS
171,LAX
172,LHR
173,MAD
174,MAN
175,MCO
176,MXP
177,ORD
178,ORY
179,SEA
180,SFO
181,TXL
182,DFW
183,JFK
184,LAX
185,LGW
186,LHR
187,ORD
188,DEN
189,DFW
190,DUS
191,JFK
192,LAS
193,LHR
194,MAD
195,MCO
196,ORD
197,SEA
198,SFO
199,LHR
200,LAS
201,MCO
202,ABZ
203,AGP
204,AMS
205,ARN
206,ATL
207,BCN
208,BHD
209,BRU
210,BUD
211,CDG
212,CPH
213,DEN
214,DFW
215,DUB
216,DUS
217,EDI
218,FCO
219,FRA
220,GLA
221,GOT
222,HAM
223,HEL
224,JFK
225,LAS
226,LAX
227,LCA
228,LIS
229,LUX
230,LYS
231,MAN
232,MUC
233,MXP
234,NCE
235,ORD
236,OTP
237,PRG
238,RTM
239,SEA
240,SFO
241,SOF
242,TLS
243,TXL
244,VCE
245,VIE
246,WAW
247,ZAG
248,LHR
249,LHR
250,LHR
251,DFW
252,JFK
253,LAX
254,ORD
255,HEL
256,JFK
257,LHR
258,ORD
259,DFW
260,JFK
261,LAX
262,LGW
263,ORD
264,SEA
265,LHR
266,JFK
267,LHR
268,LHR
269,ATL
270,CDG
271,DEN
272,DFW
273,DUB
274,DUS
275,FCO
276,JFK
277,LAS
278,LAX
279,LHR
280,MAD
281,MAN
282,MCO
283,SEA
284,SFO
285,TXL
286,JFK
287,LHR
288,LHR
289,LHR
290,DEN
291,DFW
292,JFK
293,LAX
294,LHR
295,MCO
296,ORD
297,SFO
298,DFW
299,JFK
300,LAX
301,LHR
302,ORD
303,SEA
304,LHR
305,LHR
306,JFK
307,LHR
308,ORD
309,LHR
310,LHR
311,LHR
312,LHR
313,DUS
314,HAM
315,MUC
316,PMI
317,TXL
318,VIE
319,DUS
320,FRA
321,HAM
322,MUC
323,PMI
324,TXL
325,TXL
326,VIE
327,DUS
328,TXL
329,VIE
330,TXL
331,VIE
332,DUS
333,PMI
334,TXL
335,VIE
336,DUS
337,FRA
338,MUC
339,TXL
340,FRA
341,AGP
342,ALC
343,BCN
344,CPH
345,CTA
346,FAO
347,FCO
348,FNC
349,HAM
350,HEL
351,JFK
352,LAX
353,MAD
354,MUC
355,MXP
356,NCE
357,ORD
358,PDL
359,PMI
360,RIX
361,STN
362,SZG
363,TXL
364,VCE
365,VIE
366,DUS
367,HAM
368,MUC
369,PMI
370,TXL
371,DUS
372,TXL
373,VIE
374,DUS
375,MUC
376,TXL
377,VIE
378,ALC
379,CTA
380,DFW
381,HEL
382,LHR
383,MAD
384,PMI
385,RIX
386,TXL
387,VIE
388,TXL
389,TXL
390,PMI
391,TXL
392,AGP
393,ALC
394,DUS
395,FAO
396,HEL
397,LHR
398,MUC
399,PMI
400,RIX
401,SZG
402,VIE
403,DUS
404,FRA
405,HAM
406,MUC
407,TXL
408,VIE
409,PMI
410,DUS
411,TXL
412,TXL
413,DUS
414,VIE
415,SZG
416,FRA
417,HAM
418,MUC
419,ORY
420,TXL
421,VIE
422,DUS
423,FRA
424,MUC
425,TXL
426,VIE
427,VIE
428,AGP
429,ALC
430,CTA
431,DUS
432,FAO
433,FNC
434,HAM
435,HEL
436,LHR
437,MAD
438,PMI
439,RIX
440,TXL
441,VIE
442,DUS
443,TXL
444,VIE
445,DUS
446,VIE
447,DUS
448,TXL
449,LHR
450,TXL
451,TXL
452,DUS
453,AGP
454,ALC
455,CPH
456,DUS
457,FAO
458,FRA
459,GRZ
460,HAM
461,INN
462,MUC
463,SZG
464,TXL
465,VIE
466,DUS
467,FRA
468,HAM
469,MUC
470,TXL
471,TXL
472,DUS
473,DUS
474,HAM
475,LGW
476,PMI
477,TXL
478,VIE
479,AGP
480,ALC
481,ARN
482,BCN
483,BUD
484,CPH
485,CTA
486,DUS
487,FAO
488,FCO
489,FNC
490,FRA
491,GDN
492,GOT
493,GRZ
494,HEL
495,JFK
496,KRK
497,LHR
498,MAD
499,MUC
500,MXP
501,ORD
502,ORY
503,OTP
504,PMI
505,RIX
506,SOF
507,SZG
508,VCE
509,VIE
510,WAW
511,DUS
512,TXL
513,AGP
514,ARN
515,BCN
516,CDG
517,CPH
518,DUS
519,FCO
520,FNC
