Airport_ID,Country
302,Belgium
304,Belgium
309,Belgium
340,Germany
342,Germany
345,Germany
346,Germany
351,Germany
415,Estonia
421,Finland
446,Finland
465,United Kingdom
467,United Kingdom
478,United Kingdom
488,United Kingdom
492,United Kingdom
502,United Kingdom
507,United Kingdom
532,United Kingdom
534,United Kingdom
535,United Kingdom
548,United Kingdom
580,Netherlands
585,Netherlands
591,Netherlands
596,Ireland
599,Ireland
603,Ireland
608,Denmark
609,Denmark
628,Denmark
629,Luxembourg
668,Poland
669,Poland
671,Poland
679,Poland
680,Poland
687,Sweden
699,Sweden
708,Sweden
737,Sweden
738,Sweden
1191,Bulgaria
1194,Bulgaria
1196,Bulgaria
1197,Cyprus
1198,Cyprus
1200,Croatia
1206,Croatia
1208,Croatia
1212,Spain
1218,Spain
1229,Spain
1230,Spain
1273,France
1335,France
1354,France
1382,France
1386,France
1489,Hungary
1490,Hungary
1509,Italy
1524,Italy
1525,Italy
1551,Italy
1555,Italy
1569,Slovenia
1587,Czech Republic
1588,Czech Republic
1606,Malta
1609,Austria
1610,Austria
1612,Austria
1613,Austria
1626,Portugal
1633,Portugal
1636,Portugal
1638,Portugal
1652,Romania
1655,Romania
1657,Romania
1663,Romania
1745,Slovakia
3469,United States
3484,United States
3577,United States
3670,United States
3682,United States
3751,United States
3797,United States
3830,United States
3877,United States
3878,United States
3953,Latvia
3956,Lithuania
3959,Lithuania
3998,Spain
4091,Portugal
